Accession	20180307_11_Tissue_untreated_1	20180307_12_Tissue_untreated_2	20180307_13_Control_untreated_1	20180307_14_Tissue_untreated_3	20180307_15_Control_treated_1	20180307_16_Tissue_untreated_4	20180307_17_Control_untreated_2	20180307_18_Tissue_untreated_5	20180307_19_Control_treated_2	20180307_20_Tissue_untreated_6	20180307_21_Control_untreated_3	20180307_22_Tissue_untreated_7	20180307_23_Tissue_untreated_8	20180307_24_Tissue_untreated_9	20180307_25_Control_untreated_4	20180307_26_Control_treated_3	20180307_27_Control_treated_4
Protein_28	215084.8482	230745.2304	213469.0479	219956.0129	228041.9114	194510.9574	291942.5773	173981.2791	239641.129	192980.3973	274031.8499	199091.6006	239252.4566	207111.2161	252744.6945	220434.7872	222400.2872
Protein_29	72286.03752	68996.44508	80192.07928	84942.34446	55909.5047	78720.11138	73176.10759	84313.00375	64145.90975	87848.42608	70581.93305	90633.06849	89983.46475	112787.2091	83575.07629	86542.01778	78240.24687
Protein_30	73555.4773	125393.4886	112525.3273	177875.1984	97732.66916	261776.0931	85814.00188	446266.0555	83530.71926	449103.3045	111380.4819	228278.1976	263726.6802	321189.039	129400.7691	114138.8065	120675.9746
Protein_31	32259.23686	30698.86878	33883.29967	27692.17957	28292.75381	35715.40283	33988.58707	33710.03651	25788.05193	33879.16478	23109.73648	32896.95195	29006.58179	35380.65636	31297.12576	14560.46978	37709.61815
Protein_32	227233.6022	142152.5777	97728.15327	95129.27999	105479.1668	85439.30999	123549.8977	138154.7373	93609.85088	114485.0956	165267.455	90363.35432	88359.16572	99335.01761	130484.7107	188524.1701	90838.31754
Protein_33	11091.18663	140581.6636	228744.9252	85220.88583	450361.7533	32342.45902	115553.3689	60977.21954	444175.2513	52375.02966	366005.02	50201.63889	78829.65369	38639.89365	267192.3907	958669.884	239931.1793
Protein_34	337539.4334	253649.0058	124378.2035	217088.3494	133376.6875	186693.2333	151626.6922	204793.5865	117277.113	202585.6739	134857.9016	208825.1701	192029.8442	147960.7576	123270.3662	125143.1165	106475.4542
Protein_35	121114.69	128914.6677	117075.4801	109114.1966	155577.4872	119913.2882	122087.5027	90407.6019	153830.1078	111021.5459	147264.177	98752.4233	101409.5882	97977.68091	104719.4756	131901.8366	129525.0857
Protein_36	4300.747233	4254.177181	3162.005822	983.0872211	2004.662214	4340.264784	3543.41398	4855.435305	1980.640307	4391.170503	4058.700359	1041.796013	2505.069693	1173.751326	2944.441427	2340.729419	3807.637217
Protein_37	59560.60412	49874.92602	46995.3941	51572.87941	40481.48542	49384.53275	50472.6667	39486.70424	37990.4165	42657.3934	42646.31038	50101.32875	61521.51093	58329.46472	46322.84153	40659.60941	50054.59005
Protein_38	10932.6095	8148.770631	4912.686129	8075.380746	5891.091109	7951.682804	6554.895663	8806.228396	6462.807779	8371.445425	5653.513387	9682.757048	10311.95886	9979.68341	7226.468434	6062.835334	4984.99875
Protein_39	84224.86513	127816.0303	299131.9308	130969.8445	171408.6763	166193.612	279530.29	137078.2924	185985.0172	137671.8145	171707.927	149851.7596	119115.9093	133903.9733	266777.5425	243909.3309	292160.3539
Protein_40	103610.1089	120158.4136	278720.6817	114751.6458	511601.3314	133695.7715	156815.1833	105435.1699	524014.4219	112260.3454	379084.7628	112903.2511	122189.3989	94349.17298	207932.3144	515745.917	243535.8009
Protein_41	94049.29268	80266.61199	96153.79371	74504.08823	83689.0073	64105.3504	104511.1375	71135.12283	91768.31101	69352.81518	94846.63093	69428.67689	71141.58339	68642.35462	99618.70544	91916.16154	109651.1715
Protein_42	77505.4868	51186.29892	37500.31994	49312.90256	78421.85529	51659.42492	63143.54626	44401.44109	75314.25636	43105.54213	79079.72382	55356.19259	71938.48279	57177.81974	66117.7986	47352.64917	32952.38463
Protein_43	16867.53907	3370.197055	9068.320241	6365.684813	4502.739202	1600.554029	8404.127935	10754.27981	4012.840139	18815.71198	6588.638	3491.20676	1193.879692	1834.70256	8275.289438	4880.253152	6685.487805
Protein_44	2209.524689	3400.508728	1265.1397	3808.353386	759.4981786	2886.870336	983.7362683	6834.294707	1712.133668	6653.954382	585.1989985	3142.432616	4248.590932	4818.826753	1670.585143	1031.229355	722.9196026
Protein_45	58085.6495	77971.14919	68628.40667	51856.90383	79424.13453	47560.89286	75885.47684	54031.18267	78567.1594	42779.54817	90514.29206	55939.78744	58468.57487	45797.33683	84721.99277	67111.92011	78144.74902
Protein_46	71921.38169	85741.01151	93150.20966	81015.16458	97133.43421	82812.35425	100181.5223	73505.4791	80448.05437	63591.62543	98925.15596	88796.34469	71400.82776	93908.11739	94037.70428	86015.46549	91076.59489
Protein_47	123563.7805	113985.2051	190297.6112	107922.8263	127242.6366	145387.468	133388.4392	154949.8635	137242.4949	205692.5465	127133.5098	126819.5057	134547.8057	141141.5406	182693.5201	181145.6622	156159.8307
Protein_48	505757.577	555791.6213	213064.845	407714.2872	212058.5415	345219.2128	174015.7623	325806.6652	190511.6042	249016.3856	200670.1584	339140.3713	442914.4866	345347.9814	191383.3425	148819.4776	251617.2996
Protein_49	148962.0417	207218.4253	147913.2329	137676.1254	121087.5179	106544.5177	163215.7984	76572.89724	116422.4145	81583.38264	154429.7751	106417.4298	123146.0032	93105.49505	153937.4807	80263.27739	153885.3329
Protein_50	12699.57666	24066.6241	33880.96989	22859.92333	27196.35103	21495.7351	38337.63826	22139.32827	43699.40474	11201.15981	34258.71709	28182.82559	31861.31774	25553.63168	41735.55176	26190.52055	36928.41897
Protein_51	37347.56372	38053.07946	35519.39902	44734.31847	37138.01652	63140.50451	46533.97542	49276.35228	53855.66977	43195.21416	33069.0041	34100.10778	25321.93273	49168.99056	34424.84476	34397.4708	35370.99528
Protein_52	12869.90645	14452.44176	8994.165022	19513.67793	7751.928153	15655.48853	10897.98517	14754.86126	8328.622453	13526.04148	12251.2274	12416.06932	12422.87379	17275.66326	16636.11046	6894.469376	13191.84088
Protein_53	125249.159	123926.96	118350.1309	91884.47839	110124.5296	130662.967	114019.5113	123701.726	115818.2569	106945.902	139419.9794	123651.8786	153148.9891	131711.1272	132898.1191	106700.2504	122898.0966
Protein_54	88660.9372	125924.9027	195770.346	138749.985	109397.4504	174014.0086	155221.2103	229691.3374	111799.6825	209341.247	130600.4235	181829.4843	233845.4737	177834.4279	208871.4596	167445.9986	220737.3854
Protein_55	97607.91497	109786.0361	108284.0106	83364.70403	102554.6537	92608.73141	117140.2801	92325.79944	111471.4552	93300.76777	112009.9267	84398.25565	118361.1103	105692.4875	109463.2334	99245.35004	121346.9765
Protein_56	31847.03899	29296.38709	9496.354022	26587.92549	13878.66876	23865.87346	13449.97761	19088.10785	13704.05369	24762.9895	13264.1719	28333.67342	28829.42364	19608.58718	10145.5095	7846.398504	11779.84634
Protein_57	151194.3976	107006.5634	89312.27598	106174.0848	59721.76846	172370.8338	130427.4409	130342.4672	81631.37995	128537.6781	89851.79348	133734.6824	171383.032	163855.4988	91604.06311	61849.93146	84979.44065
Protein_58	42567.89908	39313.65853	27010.30715	26088.9006	23225.13633	39279.10621	23978.7762	47376.66122	23889.69291	52094.80178	24389.8786	46219.07449	52130.29886	40186.26444	25915.98605	28254.65433	28966.77561
Protein_59	116475.4285	81275.29533	74535.59071	89278.99078	99426.35022	103361.4551	148367.491	83327.75683	115386.5644	88815.72072	123686.3242	92885.47063	88363.19096	82024.79334	94227.09211	87214.14515	101198.783
Protein_60	173201.6241	178493.4914	54681.22269	158512.8665	52495.76508	117664.6878	61016.6926	97491.85254	42898.72337	94825.97877	55213.26709	120966.9787	139524.1198	119662.0846	50059.4944	54637.78539	60867.01986
Protein_61	53544.6894	41565.3322	24814.5643	43444.49712	25630.46777	61467.48406	20224.90518	41224.54999	24733.64867	38294.57073	25212.28895	42133.14543	42193.16193	46246.8184	24062.60406	24756.59839	24371.88914
Protein_62	245525.0781	240341.0135	243629.8031	224615.3391	282387.9776	200339.4894	212952.0633	216069.3436	295467.1086	239571.317	252188.2586	195983.6434	229390.8036	201406.8778	221996.8366	373491.4513	225549.8373
Protein_63	584517.4001	964743.7845	317228.5767	897569.361	322105.115	647882.4992	342935.5549	417068.7887	331678.0258	425170.7999	353193.4025	529607.2674	463524.5657	402910.2641	349494.5401	318309.1059	677196.7849
Protein_64	148567.3073	166428.6643	110944.3219	159760.2559	92161.3835	126249.509	127979.7246	150698.2967	112751.2824	149835.4877	125135.0233	158436.203	164223.2683	132650.2019	125075.6594	90197.4686	111060.0171
Protein_65	106138.3699	79740.56684	41722.65871	81184.70378	45699.64033	84859.41765	82524.55403	77517.06455	70936.6641	78147.82983	56961.21254	83398.18264	97324.31365	85681.45134	51359.90523	52262.86635	40880.15683
Protein_66	20860.34094	22491.83712	20932.81625	19586.65203	25399.10924	26069.3442	21815.56823	21603.1872	27761.43654	17978.52704	26246.08746	22624.62027	19828.9124	26383.8804	24262.21259	26689.10036	22447.67998
Protein_67	119506.992	95850.0629	81530.56412	85875.48828	66970.94305	66690.00587	80114.53946	85145.84244	77897.23876	87546.12688	76822.08421	73341.24733	81016.3171	82596.36674	79926.94597	67424.38692	77223.49438
Protein_68	70809.52144	74636.45761	84943.77961	70844.99074	63482.47477	78422.01871	77358.63717	69961.9253	59209.42935	74415.1235	66863.10572	74940.3822	87192.53391	96221.15274	76505.98985	45285.13844	95836.75272
Protein_69	226258.6784	300723.9885	963084.5841	478516.7296	490202.0827	549279.8052	534461.9797	1115485.72	529401.009	1186017.946	457274.4974	672471.586	503079.5054	479557.5298	867685.1684	712625.783	793150.5959
Protein_70	115579.9087	227357.8882	110468.9133	179904.8134	98192.07058	144558.6409	96433.15373	242258.3758	100095.702	110193.4068	96807.29121	295692.3561	654134.4205	339100.8106	93219.92387	82385.12025	116758.1181
Protein_71	84078.48356	69220.95455	61464.02248	90173.67535	81643.06751	80936.1489	51121.75225	54153.93316	91409.12813	64579.59077	65577.11232	84677.10298	93532.1445	75041.47066	60787.09799	91067.06389	55315.8982
Protein_72	134716.424	207865.1259	153008.0623	245768.8794	116751.631	158257.7058	86610.61863	390645.3297	105015.7013	385727.3008	114701.279	245931.1039	225877.1795	208191.8126	170896.5133	151681.293	109328.071
Protein_73	52397.31141	38508.67616	110361.4206	76004.7083	72114.82667	91954.26792	81868.51393	28944.52166	79045.13823	63174.24116	68382.22623	56288.72341	115426.3427	118337.8984	72958.16251	83955.777	139147.9712
Protein_74	37614.46176	31447.68971	34434.24374	37148.67201	31034.30974	38892.40556	32267.8411	33113.4584	32494.44775	35385.49844	33077.36171	32679.36985	28880.60162	32090.03468	36933.07636	21957.41789	32184.47887
Protein_75	721864.681	710279.281	540482.2433	716648.1526	571579.0834	621605.6425	562818.8572	579651.3299	461759.309	613856.6238	616846.4094	702381.7612	706899.7835	613672.592	489004.6846	542367.4333	530290.2856
